EmployeeID,FirstName,LastName,Email,DepartmentID,ManagerID,JobRole,HireDate,Status,MonthlySalaryINR,WorkLocation,Gender,Age,DistanceFromHomeKM,EducationLevel
d85264b7-130e-4f14-970d-b80f9f87f4c4,Rachael,Boyer,melvin_turcotte@gmail.com,aee8398e-dcb0-4523-99e8-602cefec2b55,,Chief Executive Officer,2016-09-12,Active,727228,Delhi,Female,56,4,PhD
0756f919-39b6-4378-a8b0-33707bc84ccf,Nova,Krajcik,lloyd.wisoky@gmail.com,ddb2f8ea-e856-4cff-ab3e-6fb0654cac87,d85264b7-130e-4f14-970d-b80f9f87f4c4,VP of Engineering,2025-02-10,Active,449248,Bangalore,Female,50,6,PhD
39bb11e3-8432-4211-9125-6accd0d799c0,Skye,Waters-Braun,chris77@gmail.com,198b9a3c-3147-4c7d-ab5e-e5f92d510165,d85264b7-130e-4f14-970d-b80f9f87f4c4,VP of Sales,2016-10-09,Active,348905,Mumbai,Non-Binary,25,15,Bachelors
41fe4ef1-e753-4584-83eb-8d980c5e1e82,Josh,Reilly,delia5@gmail.com,75f9e8f5-86bc-44b1-89e1-172996323318,d85264b7-130e-4f14-970d-b80f9f87f4c4,VP of Human Resources,2022-03-03,Active,316487,Hyderabad,Female,55,13,Bachelors
0d205fb6-4ff1-4243-8a06-e774efadaa12,Emily,VonRueden,cindy13@hotmail.com,aee8398e-dcb0-4523-99e8-602cefec2b55,d85264b7-130e-4f14-970d-b80f9f87f4c4,VP of Marketing,2026-07-23,Terminated,427074,Delhi,Female,28,3,PhD
a344149f-bc18-412b-940e-29c201e37a54,Name,Wuckert,marc61@gmail.com,198b9a3c-3147-4c7d-ab5e-e5f92d510165,39bb11e3-8432-4211-9125-6accd0d799c0,Sales Manager,2016-07-20,Active,103916,Mumbai,Non-Binary,44,28,PhD
7005687a-9bf2-49a1-ada1-97c42963f3ed,Gwendolyn,Carter,janae.botsford@hotmail.com,bc6349a5-37e5-41d7-81d9-a869c12bbaf3,41fe4ef1-e753-4584-83eb-8d980c5e1e82,Finance Manager,2016-07-06,Active,101933,Pune,Prefer not to say,23,25,PhD
7e265d70-9188-4135-8f84-55b39076442e,Duane,Green,maiya59@yahoo.com,ddb2f8ea-e856-4cff-ab3e-6fb0654cac87,0d205fb6-4ff1-4243-8a06-e774efadaa12,Engineering Manager,2024-02-03,Active,221034,Bangalore,Prefer not to say,28,19,Bachelors
36f9d437-0f3f-4390-b929-2ead8cea5fb5,Van,Kreiger,terrence.mclaughlin@hotmail.com,ddb2f8ea-e856-4cff-ab3e-6fb0654cac87,0756f919-39b6-4378-a8b0-33707bc84ccf,Engineering Manager,2026-05-04,Terminated,156307,Bangalore,Male,46,3,Bachelors
93893360-8fd5-40d9-a827-3d8dc0d2f698,Caroline,Hahn,tanya79@yahoo.com,bc6349a5-37e5-41d7-81d9-a869c12bbaf3,39bb11e3-8432-4211-9125-6accd0d799c0,Finance Manager,2021-05-21,Active,188585,Pune,Prefer not to say,29,18,PhD
ddf2f671-973b-4de9-afc4-04e64c763b88,Norberto,Little,kamron.carter10@hotmail.com,ddb2f8ea-e856-4cff-ab3e-6fb0654cac87,41fe4ef1-e753-4584-83eb-8d980c5e1e82,Engineering Manager,2016-09-12,Active,181991,Bangalore,Male,34,21,Diploma
555ee223-e3a0-411a-bd41-37eb57af5802,Merle,Witting,toni.hintz51@gmail.com,75f9e8f5-86bc-44b1-89e1-172996323318,0d205fb6-4ff1-4243-8a06-e774efadaa12,Human Resources Manager,2021-09-25,Active,128110,Hyderabad,Female,57,8,Diploma
5ca802ef-bd45-459e-8fb9-c2b0ce1e03cc,Arianna,Russel,aliyah_bode@yahoo.com,bc6349a5-37e5-41d7-81d9-a869c12bbaf3,0756f919-39b6-4378-a8b0-33707bc84ccf,Finance Manager,2017-12-02,Active,173903,Pune,Female,26,29,Diploma
d4ebadd9-8f6f-4097-bfeb-370bc1312ecf,Dana,Hudson,percy_swift34@yahoo.com,aee8398e-dcb0-4523-99e8-602cefec2b55,39bb11e3-8432-4211-9125-6accd0d799c0,Marketing Manager,2026-03-09,Active,236598,Delhi,Female,55,28,Diploma
8565ea1d-4f56-4a49-b00a-1ff7618021be,Gabriel,DuBuque,sidney_metz60@hotmail.com,75f9e8f5-86bc-44b1-89e1-172996323318,41fe4ef1-e753-4584-83eb-8d980c5e1e82,Human Resources Manager,2026-05-10,Terminated,187661,Hyderabad,Prefer not to say,37,22,Diploma
95fee654-165a-4426-8f15-5aa7615c5e52,Amanda,Batz,columbus21@yahoo.com,198b9a3c-3147-4c7d-ab5e-e5f92d510165,0d205fb6-4ff1-4243-8a06-e774efadaa12,Sales Manager,2019-01-10,Active,215675,Mumbai,Prefer not to say,25,11,Bachelors
f9bec295-192b-427e-b468-b90a36d3ed6e,Eula,Nikolaus,lorenz.hoeger26@hotmail.com,ddb2f8ea-e856-4cff-ab3e-6fb0654cac87,0756f919-39b6-4378-a8b0-33707bc84ccf,Engineering Manager,2018-11-07,Active,151989,Bangalore,Female,58,4,PhD
c928550c-2338-463b-930a-29020041a190,Jenny,Hane,weldon_aufderhar@hotmail.com,bc6349a5-37e5-41d7-81d9-a869c12bbaf3,39bb11e3-8432-4211-9125-6accd0d799c0,Finance Manager,2025-11-13,Terminated,236084,Pune,Non-Binary,36,10,Diploma
c3301c22-2b4b-4c7f-827f-90a886d47311,Damien,McLaughlin,erika_treutel@gmail.com,aee8398e-dcb0-4523-99e8-602cefec2b55,41fe4ef1-e753-4584-83eb-8d980c5e1e82,Marketing Manager,2015-08-01,Active,228388,Delhi,Non-Binary,42,1,Masters
75540a9f-e62c-4345-88b2-726080c8100d,Johnpaul,Wuckert,margaret.kilback1@yahoo.com,75f9e8f5-86bc-44b1-89e1-172996323318,0d205fb6-4ff1-4243-8a06-e774efadaa12,Human Resources Manager,2017-01-30,Terminated,141804,Hyderabad,Non-Binary,46,1,Masters
a21c8a2b-18ab-4040-b6ca-9d87668287e2,Tania,Wilderman,rose.hilll@gmail.com,75f9e8f5-86bc-44b1-89e1-172996323318,0756f919-39b6-4378-a8b0-33707bc84ccf,Human Resources Manager,2021-12-20,Active,208249,Hyderabad,Prefer not to say,36,12,Masters
f29a8f01-0ea3-45f6-a563-5ab88bd21740,Maria,Keebler,roberto_ratke72@yahoo.com,ddb2f8ea-e856-4cff-ab3e-6fb0654cac87,39bb11e3-8432-4211-9125-6accd0d799c0,Engineering Manager,2026-04-25,Terminated,215492,Bangalore,Prefer not to say,49,9,Masters
b2876e84-60b7-4ebb-aa0a-3fbd7a27bca2,Dessie,Orn,domenick.hauck@hotmail.com,ddb2f8ea-e856-4cff-ab3e-6fb0654cac87,41fe4ef1-e753-4584-83eb-8d980c5e1e82,Engineering Manager,2024-05-30,Active,184774,Bangalore,Female,34,2,Diploma
0dc34f7f-1c7f-4008-9b7a-8c416421e4fa,Naomi,Dicki-Morar,wayne.lebsack-legros38@yahoo.com,198b9a3c-3147-4c7d-ab5e-e5f92d510165,0d205fb6-4ff1-4243-8a06-e774efadaa12,Sales Manager,2015-10-11,Active,193060,Mumbai,Male,46,11,Masters
254e5290-7c0b-4c32-a48f-ce956be85d4a,Jaleel,Waters,myles.deckow@hotmail.com,aee8398e-dcb0-4523-99e8-602cefec2b55,0756f919-39b6-4378-a8b0-33707bc84ccf,Marketing Manager,2016-08-09,Active,171655,Delhi,Female,38,16,Masters
8763f813-0fd1-448e-ae96-bd0f6be5d249,Cali,Schuppe,nolan_corwin85@gmail.com,aee8398e-dcb0-4523-99e8-602cefec2b55,39bb11e3-8432-4211-9125-6accd0d799c0,Marketing Manager,2020-03-22,Active,140558,Delhi,Male,49,21,Masters
526dd8a4-62c4-44d0-8e3b-c6005383a6e8,Sabrina,Gislason,elinore51@hotmail.com,75f9e8f5-86bc-44b1-89e1-172996323318,41fe4ef1-e753-4584-83eb-8d980c5e1e82,Human Resources Manager,2022-03-10,Active,208210,Hyderabad,Male,28,3,PhD
0a372f95-d7ee-49d9-a2df-e7ddf82290de,Janie,Hudson-Hermiston,dewayne4@hotmail.com,75f9e8f5-86bc-44b1-89e1-172996323318,0d205fb6-4ff1-4243-8a06-e774efadaa12,Human Resources Manager,2021-09-09,Active,215261,Hyderabad,Male,25,23,Masters
3cd82c5e-529d-4500-8d52-deee030c1ea3,Nathaniel,Wiza,estefania_hand38@gmail.com,ddb2f8ea-e856-4cff-ab3e-6fb0654cac87,0756f919-39b6-4378-a8b0-33707bc84ccf,Engineering Manager,2020-01-26,Active,191835,Bangalore,Prefer not to say,42,18,Masters
40d6cd96-c5d0-4455-b009-0b0046dcb51b,Renee,Carter,nikolas_kuphal@yahoo.com,ddb2f8ea-e856-4cff-ab3e-6fb0654cac87,39bb11e3-8432-4211-9125-6accd0d799c0,Engineering Manager,2018-08-16,Active,158827,Bangalore,Female,43,23,Diploma
ce210808-0643-4154-b355-0f4fdb9309a7,May,Hauck,paulette_rice0@hotmail.com,198b9a3c-3147-4c7d-ab5e-e5f92d510165,41fe4ef1-e753-4584-83eb-8d980c5e1e82,Sales Manager,2020-04-08,Active,117085,Mumbai,Non-Binary,35,1,Bachelors
630716e5-012e-462e-997f-4bddc29d22c6,Jeffery,Kozey,dorcas49@gmail.com,aee8398e-dcb0-4523-99e8-602cefec2b55,0d205fb6-4ff1-4243-8a06-e774efadaa12,Marketing Manager,2023-03-08,Active,182713,Delhi,Prefer not to say,43,18,PhD
543b70df-c750-4d2d-8b42-9ad31bebe5d1,Cecil,Legros,claude.macgyver1@hotmail.com,75f9e8f5-86bc-44b1-89e1-172996323318,0756f919-39b6-4378-a8b0-33707bc84ccf,Human Resources Manager,2023-11-14,Active,204210,Hyderabad,Female,49,30,Bachelors
8a6cb659-c889-4932-ba72-818cd81574f2,Micaela,Balistreri,vicky_bartoletti@hotmail.com,198b9a3c-3147-4c7d-ab5e-e5f92d510165,39bb11e3-8432-4211-9125-6accd0d799c0,Sales Manager,2020-07-04,Terminated,239004,Mumbai,Non-Binary,50,15,Masters
9c6389a2-f1aa-472a-a405-217b6094b685,Roman,Bernhard,ebony8@gmail.com,bc6349a5-37e5-41d7-81d9-a869c12bbaf3,41fe4ef1-e753-4584-83eb-8d980c5e1e82,Finance Manager,2018-10-24,Active,114307,Pune,Prefer not to say,33,2,PhD
